label,alternateLabel,detail,value,startDate,endDate,weekStart,weekEnd
Hall of Fame Weekend,HOF,Aug 1-7,1,2024-08-01 07:00:00+00:00,2024-08-07 06:59:00+00:00,20240801,20240807
Preseason Week 1,Pre Wk 1,Aug 8-14,2,2024-08-08 07:00:00+00:00,2024-08-14 06:59:00+00:00,20240808,20240814
Preseason Week 2,Pre Wk 2,Aug 15-21,3,2024-08-15 07:00:00+00:00,2024-08-21 06:59:00+00:00,20240815,20240821
Preseason Week 3,Pre Wk 3,Aug 22-Sep 3,4,2024-08-22 07:00:00+00:00,2024-09-03 06:59:00+00:00,20240822,20240903
Week 1,Week 1,Sep 4-10,1,2024-09-04 07:00:00+00:00,2024-09-10 06:59:00+00:00,20240904,20240910
Week 2,Week 2,Sep 11-17,2,2024-09-11 07:00:00+00:00,2024-09-17 06:59:00+00:00,20240911,20240917
Week 3,Week 3,Sep 18-24,3,2024-09-18 07:00:00+00:00,2024-09-24 06:59:00+00:00,20240918,20240924
Week 4,Week 4,Sep 25-Oct 1,4,2024-09-25 07:00:00+00:00,2024-10-01 06:59:00+00:00,20240925,20241001
Week 5,Week 5,Oct 2-8,5,2024-10-02 07:00:00+00:00,2024-10-08 06:59:00+00:00,20241002,20241008
Week 6,Week 6,Oct 9-15,6,2024-10-09 07:00:00+00:00,2024-10-15 06:59:00+00:00,20241009,20241015
Week 7,Week 7,Oct 16-22,7,2024-10-16 07:00:00+00:00,2024-10-22 06:59:00+00:00,20241016,20241022
Week 8,Week 8,Oct 23-29,8,2024-10-23 07:00:00+00:00,2024-10-29 06:59:00+00:00,20241023,20241029
Week 9,Week 9,Oct 30-Nov 5,9,2024-10-30 07:00:00+00:00,2024-11-05 07:59:00+00:00,20241030,20241105
Week 10,Week 10,Nov 6-12,10,2024-11-06 08:00:00+00:00,2024-11-12 07:59:00+00:00,20241106,20241112
Week 11,Week 11,Nov 13-19,11,2024-11-13 08:00:00+00:00,2024-11-19 07:59:00+00:00,20241113,20241119
Week 12,Week 12,Nov 20-26,12,2024-11-20 08:00:00+00:00,2024-11-26 07:59:00+00:00,20241120,20241126
Week 13,Week 13,Nov 27-Dec 3,13,2024-11-27 08:00:00+00:00,2024-12-03 07:59:00+00:00,20241127,20241203
Week 14,Week 14,Dec 4-10,14,2024-12-04 08:00:00+00:00,2024-12-10 07:59:00+00:00,20241204,20241210
Week 15,Week 15,Dec 11-17,15,2024-12-11 08:00:00+00:00,2024-12-17 07:59:00+00:00,20241211,20241217
Week 16,Week 16,Dec 18-24,16,2024-12-18 08:00:00+00:00,2024-12-24 07:59:00+00:00,20241218,20241224
Week 17,Week 17,Dec 25-31,17,2024-12-25 08:00:00+00:00,2024-12-31 07:59:00+00:00,20241225,20241231
Week 18,Week 18,Jan 1-7,18,2025-01-01 08:00:00+00:00,2025-01-07 07:59:00+00:00,20250101,20250107
Wild Card,Wild Card,Jan 8-16,1,2025-01-08 08:00:00+00:00,2025-01-16 07:59:00+00:00,20250108,20250116
Divisional Round,Div Rd,Jan 17-23,2,2025-01-17 08:00:00+00:00,2025-01-23 07:59:00+00:00,20250117,20250123
Conference Championship,Conf Champ,Jan 24-30,3,2025-01-24 08:00:00+00:00,2025-01-30 07:59:00+00:00,20250124,20250130
Pro Bowl,Pro Bowl,Jan 31-Feb 6,4,2025-01-31 08:00:00+00:00,2025-02-06 07:59:00+00:00,20250131,20250206
Super Bowl,Super Bowl,Feb 7-14,5,2025-02-07 08:00:00+00:00,2025-02-14 07:59:00+00:00,20250207,20250214
Week 1,Week 1,Feb 15-Jul 31,1,2025-02-15 08:00:00+00:00,2025-07-31 06:59:00+00:00,20250215,20250731
